Year,Month,Location,Latitude,Longitude,Temperature,Rainfall,Precipitation,Mosquito_Density,Cases
2010,1,Indiranagar,12.9784,77.6408,29.6,7.5,41.3,52.4,47
2010,1,Whitefield,12.9698,77.7499,33.4,26.1,63.3,15.7,20
2010,1,Koramangala,12.9345,77.6192,23.3,151.6,4.0,47.8,35
2010,1,Jayanagar,12.925,77.5938,23.3,176.8,121.4,11.2,29
2010,1,Malleshwaram,13.0097,77.5649,32.1,209.4,51.0,39.5,67
2010,1,Hebbal,13.0358,77.597,21.4,29.0,127.1,124.7,45
2010,1,Electronic City,12.8445,77.6636,32.1,218.9,80.4,194.9,31
2010,1,BTM Layout,12.9166,77.6101,32.4,185.6,129.3,119.7,67
2010,1,Rajajinagar,12.998,77.5542,30.6,13.7,34.2,65.0,62
2010,1,Marathahalli,12.9563,77.7011,21.5,83.4,95.4,79.3,56
2010,1,Bannerghatta,12.8,77.5771,25.6,62.9,40.0,188.0,33
2010,1,Yeshwanthpur,13.0286,77.5308,22.6,218.7,24.5,82.1,28
2010,2,Indiranagar,12.9784,77.6408,34.8,192.0,83.5,140.1,69
2010,2,Whitefield,12.9698,77.7499,23.4,9.6,47.3,60.9,21
2010,2,Koramangala,12.9345,77.6192,23.2,282.9,131.5,69.8,38
2010,2,Jayanagar,12.925,77.5938,33.7,137.7,39.7,56.9,33
2010,2,Malleshwaram,13.0097,77.5649,28.4,78.8,87.7,180.6,38
2010,2,Hebbal,13.0358,77.597,35.0,152.9,13.6,19.0,58
2010,2,Electronic City,12.8445,77.6636,21.6,188.2,118.8,90.2,68
2010,2,BTM Layout,12.9166,77.6101,34.9,158.7,145.7,173.5,57
2010,2,Rajajinagar,12.998,77.5542,20.2,216.2,102.3,112.0,46
2010,2,Marathahalli,12.9563,77.7011,21.7,130.4,68.1,191.2,78
2010,2,Bannerghatta,12.8,77.5771,33.1,79.0,75.1,43.9,84
2010,2,Yeshwanthpur,13.0286,77.5308,24.5,191.7,91.3,39.0,28
2010,3,Indiranagar,12.9784,77.6408,31.4,161.8,116.8,110.8,67
2010,3,Whitefield,12.9698,77.7499,20.3,278.7,131.8,168.0,50
2010,3,Koramangala,12.9345,77.6192,24.6,17.4,131.7,189.9,69
2010,3,Jayanagar,12.925,77.5938,21.0,228.2,114.9,34.4,61
2010,3,Malleshwaram,13.0097,77.5649,27.1,164.9,39.8,175.8,37
2010,3,Hebbal,13.0358,77.597,28.1,219.0,30.2,69.2,56
2010,3,Electronic City,12.8445,77.6636,34.9,195.0,65.7,108.3,60
2010,3,BTM Layout,12.9166,77.6101,25.1,176.5,34.5,51.8,59
2010,3,Rajajinagar,12.998,77.5542,21.1,189.3,34.3,182.0,54
2010,3,Marathahalli,12.9563,77.7011,23.6,200.7,32.1,35.1,44
2010,3,Bannerghatta,12.8,77.5771,34.0,171.3,70.9,159.1,54
2010,3,Yeshwanthpur,13.0286,77.5308,21.5,129.3,63.5,98.7,37
2010,4,Indiranagar,12.9784,77.6408,30.9,202.0,147.6,28.7,35
2010,4,Whitefield,12.9698,77.7499,32.9,74.6,28.5,95.2,60
2010,4,Koramangala,12.9345,77.6192,26.3,83.6,37.5,185.4,12
2010,4,Jayanagar,12.925,77.5938,28.3,15.2,149.9,168.8,63
2010,4,Malleshwaram,13.0097,77.5649,34.5,277.9,127.3,41.6,36
2010,4,Hebbal,13.0358,77.597,26.0,17.6,56.8,197.2,51
2010,4,Electronic City,12.8445,77.6636,24.0,235.2,68.3,90.4,113
2010,4,BTM Layout,12.9166,77.6101,28.3,215.5,23.2,66.4,32
2010,4,Rajajinagar,12.998,77.5542,34.5,173.8,81.3,152.1,74
2010,4,Marathahalli,12.9563,77.7011,27.5,255.8,23.6,192.5,59
2010,4,Bannerghatta,12.8,77.5771,21.2,55.7,89.3,138.3,50
2010,4,Yeshwanthpur,13.0286,77.5308,33.4,73.9,89.2,127.7,60
2010,5,Indiranagar,12.9784,77.6408,26.3,175.1,78.4,187.6,58
2010,5,Whitefield,12.9698,77.7499,23.6,118.7,100.8,67.0,80
2010,5,Koramangala,12.9345,77.6192,24.7,225.6,10.9,97.1,116
2010,5,Jayanagar,12.925,77.5938,21.1,63.9,39.8,187.3,49
2010,5,Malleshwaram,13.0097,77.5649,33.2,263.8,55.4,40.0,65
2010,5,Hebbal,13.0358,77.597,29.2,296.2,98.1,11.5,23
2010,5,Electronic City,12.8445,77.6636,32.3,89.8,99.5,188.4,56
2010,5,BTM Layout,12.9166,77.6101,21.6,166.0,40.9,124.9,57
2010,5,Rajajinagar,12.998,77.5542,30.8,61.1,95.1,60.2,6
2010,5,Marathahalli,12.9563,77.7011,32.7,27.7,63.5,62.6,53
2010,5,Bannerghatta,12.8,77.5771,20.1,231.3,95.6,59.8,48
2010,5,Yeshwanthpur,13.0286,77.5308,26.4,2.9,11.3,177.8,24
2010,6,Indiranagar,12.9784,77.6408,33.6,163.7,125.2,120.7,56
2010,6,Whitefield,12.9698,77.7499,24.6,269.7,119.4,173.5,58
2010,6,Koramangala,12.9345,77.6192,33.5,63.0,37.4,29.5,57
2010,6,Jayanagar,12.925,77.5938,26.1,186.2,23.2,186.7,9
2010,6,Malleshwaram,13.0097,77.5649,33.0,292.9,121.6,177.5,82
2010,6,Hebbal,13.0358,77.597,25.0,279.2,120.3,174.2,55
2010,6,Electronic City,12.8445,77.6636,32.2,80.0,118.1,30.5,77
2010,6,BTM Layout,12.9166,77.6101,23.3,245.0,69.0,68.0,21
2010,6,Rajajinagar,12.998,77.5542,31.9,68.3,3.5,46.7,31
2010,6,Marathahalli,12.9563,77.7011,34.5,83.7,96.2,85.9,85
2010,6,Bannerghatta,12.8,77.5771,34.7,160.9,140.9,31.9,62
2010,6,Yeshwanthpur,13.0286,77.5308,34.4,79.6,16.3,92.6,47
2010,7,Indiranagar,12.9784,77.6408,30.9,94.1,90.9,107.2,30
2010,7,Whitefield,12.9698,77.7499,23.8,212.6,0.3,185.9,67
2010,7,Koramangala,12.9345,77.6192,28.1,215.8,111.3,137.4,44
2010,7,Jayanagar,12.925,77.5938,30.0,99.1,47.1,171.1,55
2010,7,Malleshwaram,13.0097,77.5649,30.8,90.1,46.4,87.6,36
2010,7,Hebbal,13.0358,77.597,21.9,126.1,141.1,138.7,59
2010,7,Electronic City,12.8445,77.6636,33.5,184.7,45.1,114.1,66
2010,7,BTM Layout,12.9166,77.6101,26.4,174.0,98.2,98.3,50
2010,7,Rajajinagar,12.998,77.5542,26.6,64.1,71.0,181.2,53
2010,7,Marathahalli,12.9563,77.7011,21.3,154.6,94.9,73.7,38
2010,7,Bannerghatta,12.8,77.5771,32.3,225.3,100.9,52.7,51
2010,7,Yeshwanthpur,13.0286,77.5308,23.7,142.5,127.5,23.8,54
2010,8,Indiranagar,12.9784,77.6408,26.2,188.9,29.2,142.3,35
2010,8,Whitefield,12.9698,77.7499,29.8,1.7,112.6,156.3,50
2010,8,Koramangala,12.9345,77.6192,21.6,127.5,26.4,192.0,43
2010,8,Jayanagar,12.925,77.5938,23.7,254.5,68.5,162.3,49
2010,8,Malleshwaram,13.0097,77.5649,30.0,296.4,89.3,190.5,71
2010,8,Hebbal,13.0358,77.597,30.8,151.4,124.6,114.1,32
2010,8,Electronic City,12.8445,77.6636,33.5,223.1,71.2,59.2,50
2010,8,BTM Layout,12.9166,77.6101,31.5,156.4,94.0,62.2,78
2010,8,Rajajinagar,12.998,77.5542,21.2,85.7,40.8,70.7,39
2010,8,Marathahalli,12.9563,77.7011,23.5,208.2,106.0,22.2,47
2010,8,Bannerghatta,12.8,77.5771,26.1,162.8,62.4,49.3,11
2010,8,Yeshwanthpur,13.0286,77.5308,28.8,208.7,128.5,155.5,70
2010,9,Indiranagar,12.9784,77.6408,25.7,1.8,52.8,153.2,79
2010,9,Whitefield,12.9698,77.7499,26.3,224.3,81.9,124.6,10
2010,9,Koramangala,12.9345,77.6192,23.3,65.8,65.4,15.5,34
2010,9,Jayanagar,12.925,77.5938,26.1,49.5,70.1,34.2,75
2010,9,Malleshwaram,13.0097,77.5649,29.3,8.1,59.1,117.2,78
2010,9,Hebbal,13.0358,77.597,22.0,138.5,7.5,82.0,54
2010,9,Electronic City,12.8445,77.6636,23.2,98.1,114.2,82.0,50
2010,9,BTM Layout,12.9166,77.6101,23.8,24.6,2.9,112.5,12
2010,9,Rajajinagar,12.998,77.5542,35.0,105.0,97.5,158.4,30
2010,9,Marathahalli,12.9563,77.7011,34.2,59.8,3.1,39.0,22
2010,9,Bannerghatta,12.8,77.5771,21.9,200.8,84.6,51.4,39
2010,9,Yeshwanthpur,13.0286,77.5308,22.5,182.2,112.2,31.8,17
2010,10,Indiranagar,12.9784,77.6408,32.3,289.4,16.2,14.9,38
2010,10,Whitefield,12.9698,77.7499,34.4,119.0,107.3,24.4,77
2010,10,Koramangala,12.9345,77.6192,30.4,188.2,15.3,156.8,65
2010,10,Jayanagar,12.925,77.5938,21.8,295.2,117.4,76.0,28
2010,10,Malleshwaram,13.0097,77.5649,26.4,111.2,75.9,74.8,71
2010,10,Hebbal,13.0358,77.597,21.6,288.2,95.3,167.5,19
2010,10,Electronic City,12.8445,77.6636,30.6,130.6,110.1,193.4,45
2010,10,BTM Layout,12.9166,77.6101,28.1,145.0,65.3,148.9,86
2010,10,Rajajinagar,12.998,77.5542,24.0,255.5,124.6,26.5,61
2010,10,Marathahalli,12.9563,77.7011,27.0,183.1,56.8,15.5,39
2010,10,Bannerghatta,12.8,77.5771,32.8,54.6,31.8,161.6,27
2010,10,Yeshwanthpur,13.0286,77.5308,30.5,82.9,1.5,190.1,84
2010,11,Indiranagar,12.9784,77.6408,21.3,216.0,73.3,154.1,39
2010,11,Whitefield,12.9698,77.7499,27.4,237.9,14.0,52.1,23
2010,11,Koramangala,12.9345,77.6192,30.4,91.9,87.2,99.9,29
2010,11,Jayanagar,12.925,77.5938,31.2,99.2,105.4,61.5,45
2010,11,Malleshwaram,13.0097,77.5649,23.8,36.2,28.9,32.7,16
2010,11,Hebbal,13.0358,77.597,22.8,64.9,72.6,147.7,42
2010,11,Electronic City,12.8445,77.6636,34.6,157.4,42.4,29.1,54
2010,11,BTM Layout,12.9166,77.6101,22.7,4.2,80.1,62.1,63
2010,11,Rajajinagar,12.998,77.5542,34.6,166.0,104.6,34.0,65
2010,11,Marathahalli,12.9563,77.7011,33.1,172.2,70.4,93.7,32
2010,11,Bannerghatta,12.8,77.5771,22.8,15.4,141.2,100.8,58
2010,11,Yeshwanthpur,13.0286,77.5308,21.1,188.8,8.0,38.3,31
2010,12,Indiranagar,12.9784,77.6408,28.4,91.2,149.1,32.5,52
2010,12,Whitefield,12.9698,77.7499,31.9,67.7,78.4,95.6,22
2010,12,Koramangala,12.9345,77.6192,26.6,258.0,148.5,68.0,30
2010,12,Jayanagar,12.925,77.5938,31.1,284.3,31.2,50.1,31
2010,12,Malleshwaram,13.0097,77.5649,29.9,47.1,26.1,24.3,71
2010,12,Hebbal,13.0358,77.597,28.9,87.4,34.7,144.3,50
2010,12,Electronic City,12.8445,77.6636,30.5,136.2,103.1,185.5,56
2010,12,BTM Layout,12.9166,77.6101,29.9,280.1,63.8,113.5,22
2010,12,Rajajinagar,12.998,77.5542,29.7,272.5,124.0,23.6,58
2010,12,Marathahalli,12.9563,77.7011,31.2,170.8,43.3,33.6,64
2010,12,Bannerghatta,12.8,77.5771,30.3,209.9,141.4,105.1,41
2010,12,Yeshwanthpur,13.0286,77.5308,20.6,129.6,48.3,57.6,50
2011,1,Indiranagar,12.9784,77.6408,21.4,288.6,125.4,119.3,125
2011,1,Whitefield,12.9698,77.7499,30.1,80.9,6.0,153.7,26
2011,1,Koramangala,12.9345,77.6192,27.1,195.5,137.4,44.5,25
2011,1,Jayanagar,12.925,77.5938,27.4,27.4,52.2,73.3,35
2011,1,Malleshwaram,13.0097,77.5649,30.1,257.3,49.5,141.8,38
2011,1,Hebbal,13.0358,77.597,32.2,165.0,68.2,69.8,96
2011,1,Electronic City,12.8445,77.6636,24.8,291.1,60.6,107.8,79
2011,1,BTM Layout,12.9166,77.6101,28.1,124.0,28.1,78.7,47
2011,1,Rajajinagar,12.998,77.5542,31.3,187.6,114.0,48.7,6
2011,1,Marathahalli,12.9563,77.7011,26.6,209.5,18.2,194.9,36
2011,1,Bannerghatta,12.8,77.5771,29.1,71.8,23.8,114.7,41
2011,1,Yeshwanthpur,13.0286,77.5308,34.9,273.9,69.2,32.3,47
2011,2,Indiranagar,12.9784,77.6408,32.5,149.5,107.5,106.7,44
